0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:58:50 +0530] "GET /project_3/doc/tag-search-index.js HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:59:05 +0530] "GET /project_3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:59:05 +0530] "GET /project_3/doc/module-search-index.zip HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:59:05 +0530] "GET /project_3/doc/module-search-index.js HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:59:05 +0530] "GET /project_3/doc/tag-search-index.zip HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:59:05 +0530] "GET /project_3/doc/tag-search-index.js HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:59:52 +0530] "GET /project_3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:59:52 +0530] "GET /project_3/doc/module-search-index.zip HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:59:52 +0530] "GET /project_3/doc/tag-search-index.zip HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:59:52 +0530] "GET /project_3/doc/module-search-index.js HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:59:52 +0530] "GET /project_3/doc/tag-search-index.js HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:59:56 +0530] "GET /project_3/doc/index-files/index-1.html HTTP/1.1" 200 22968
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:59:56 +0530] "GET /project_3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:59:56 +0530] "GET /project_3/doc/module-search-index.zip HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:59:56 +0530] "GET /project_3/doc/tag-search-index.zip HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:59:56 +0530] "GET /project_3/doc/module-search-index.js HTTP/1.1" 404 973
